Date,Restaurant,num_fish,num_chicken,num_vegetarian,num_meat,pcs_Not Mapped,num_vegan,carbon_emissions_sum
2023-01-02,600 Chemicum,85.0,0.0,0.0,171.0,0.0,91.0,273.82
2023-01-03,600 Chemicum,163.0,0.0,32.0,78.0,0.0,120.0,275.97
2023-01-04,600 Chemicum,70.0,0.0,0.0,218.0,0.0,137.0,246.55
2023-01-05,600 Chemicum,232.0,85.0,0.0,2.0,0.0,178.0,298.02
2023-01-09,600 Chemicum,107.0,0.0,0.0,283.0,0.0,216.0,402.71
2023-01-09,610 Physicum,1.0,15.0,11.0,0.0,0.0,6.0,26.67
2023-01-09,620 Exactum,49.0,0.0,0.0,0.0,0.0,50.0,58.18
2023-01-10,600 Chemicum,32.0,0.0,77.0,33.0,0.0,174.0,159.62
2023-01-10,610 Physicum,0.0,21.0,18.0,5.0,0.0,9.0,41.36
2023-01-10,620 Exactum,41.0,74.0,15.0,0.0,0.0,77.0,135.17
2023-01-11,600 Chemicum,87.0,286.0,49.0,41.0,0.0,164.0,353.75
2023-01-11,610 Physicum,11.0,22.0,20.0,4.0,0.0,10.0,56.26
2023-01-11,620 Exactum,4.0,12.0,0.0,0.0,0.0,130.0,68.59
2023-01-12,600 Chemicum,245.0,93.0,0.0,21.0,0.0,243.0,339.51
2023-01-12,610 Physicum,0.0,24.0,16.0,5.0,0.0,16.0,43.4
2023-01-12,620 Exactum,63.0,0.0,0.0,0.0,0.0,97.0,92.07
2023-01-13,600 Chemicum,112.0,260.0,0.0,5.0,0.0,238.0,317.8
2023-01-13,610 Physicum,0.0,13.0,24.0,5.0,0.0,14.0,43.77
2023-01-13,620 Exactum,81.0,0.0,0.0,0.0,0.0,54.0,90.55
2023-01-16,600 Chemicum,201.0,45.0,0.0,383.0,0.0,373.0,642.88
2023-01-16,610 Physicum,8.0,58.0,59.0,32.0,0.0,32.0,151.23
2023-01-16,620 Exactum,11.0,144.0,0.0,0.0,0.0,245.0,300.42
2023-01-17,600 Chemicum,373.0,20.0,147.0,0.0,0.0,448.0,512.74
2023-01-17,610 Physicum,27.0,38.0,57.0,23.0,0.0,28.0,140.72
2023-01-17,620 Exactum,113.0,11.0,39.0,0.0,0.0,155.0,192.59
2023-01-18,600 Chemicum,314.0,264.0,0.0,0.0,0.0,308.0,598.6
2023-01-18,610 Physicum,12.0,58.0,44.0,18.0,0.0,36.0,129.74
2023-01-18,620 Exactum,139.0,0.0,70.0,0.0,0.0,174.0,282.03
2023-01-19,600 Chemicum,35.0,395.0,0.0,0.0,0.0,272.0,324.69
2023-01-19,610 Physicum,4.0,63.0,52.0,22.0,0.0,30.0,138.77
2023-01-19,620 Exactum,20.0,96.0,15.0,0.0,0.0,128.0,133.08
2023-01-20,600 Chemicum,233.0,0.0,0.0,312.0,0.0,306.0,571.6
2023-01-20,610 Physicum,6.0,37.0,48.0,20.0,0.0,27.0,110.64
2023-01-20,620 Exactum,92.0,28.0,0.0,0.0,0.0,135.0,135.61
2023-01-23,600 Chemicum,188.0,0.0,0.0,509.0,0.0,202.0,558.14
2023-01-23,610 Physicum,12.0,48.0,41.0,23.0,0.0,35.0,120.65
2023-01-23,620 Exactum,80.0,0.0,0.0,4.0,0.0,219.0,154.89
2023-01-24,600 Chemicum,353.0,25.0,0.0,24.0,0.0,559.0,560.54
2023-01-24,610 Physicum,10.0,66.0,52.0,21.0,0.0,31.0,144.02
2023-01-24,620 Exactum,139.0,0.0,20.0,35.0,0.0,98.0,155.0
2023-01-25,600 Chemicum,155.0,350.0,0.0,0.0,0.0,390.0,526.19
2023-01-25,610 Physicum,19.0,36.0,62.0,39.0,0.0,40.0,151.47
2023-01-25,620 Exactum,91.0,1.0,0.0,135.0,0.0,166.0,251.62
2023-01-26,600 Chemicum,90.0,500.0,0.0,0.0,0.0,305.0,778.65
2023-01-26,610 Physicum,44.0,66.0,39.0,17.0,0.0,35.0,171.64
2023-01-26,620 Exactum,164.0,0.0,18.0,10.0,0.0,159.0,259.25
2023-01-27,600 Chemicum,270.0,292.0,0.0,0.0,0.0,207.0,489.5
2023-01-27,610 Physicum,1.0,30.0,40.0,26.0,0.0,25.0,92.12
2023-01-27,620 Exactum,29.0,3.0,0.0,0.0,0.0,190.0,130.55
2023-01-30,600 Chemicum,122.0,41.0,0.0,382.0,0.0,315.0,584.21
2023-01-30,610 Physicum,10.0,54.0,45.0,11.0,0.0,36.0,121.64
2023-01-30,620 Exactum,170.0,0.0,114.0,0.0,0.0,97.0,303.55
2023-01-31,600 Chemicum,434.0,1.0,223.0,0.0,0.0,274.0,723.37
2023-01-31,610 Physicum,7.0,65.0,46.0,12.0,0.0,41.0,129.22
2023-01-31,620 Exactum,12.0,7.0,0.0,142.0,0.0,225.0,200.82
2023-02-01,600 Chemicum,310.0,232.0,83.0,0.0,0.0,184.0,588.08
2023-02-01,610 Physicum,6.0,61.0,50.0,27.0,0.0,34.0,134.23
2023-02-01,620 Exactum,25.0,145.0,0.0,21.0,0.0,168.0,312.73
2023-02-02,600 Chemicum,364.0,0.0,0.0,220.0,0.0,319.0,590.26
2023-02-02,610 Physicum,7.0,47.0,40.0,36.0,0.0,40.0,129.2
2023-02-02,620 Exactum,188.0,0.0,25.0,52.0,0.0,87.0,261.21
2023-02-03,600 Chemicum,259.0,0.0,0.0,322.0,0.0,260.0,598.54
2023-02-03,610 Physicum,9.0,24.0,39.0,27.0,0.0,30.0,98.95
2023-02-03,620 Exactum,19.0,5.0,0.0,0.0,0.0,135.0,69.22
2023-02-06,600 Chemicum,87.0,0.0,0.0,559.0,0.0,291.0,561.17
2023-02-06,610 Physicum,6.0,25.0,65.0,38.0,0.0,41.0,136.23
2023-02-06,620 Exactum,109.0,0.0,76.0,0.0,0.0,210.0,233.89
2023-02-07,600 Chemicum,358.0,0.0,0.0,26.0,0.0,535.0,563.25
2023-02-07,610 Physicum,0.0,61.0,49.0,40.0,0.0,45.0,144.36
2023-02-07,620 Exactum,135.0,0.0,21.0,0.0,0.0,166.0,162.74
2023-02-08,600 Chemicum,435.0,75.0,0.0,1.0,0.0,355.0,471.96
2023-02-08,610 Physicum,3.0,75.0,57.0,23.0,0.0,36.0,152.03
2023-02-08,620 Exactum,46.0,1.0,0.0,175.0,0.0,152.0,293.21
2023-02-09,600 Chemicum,397.0,246.0,0.0,10.0,0.0,263.0,520.62
2023-02-09,610 Physicum,9.0,54.0,52.0,23.0,0.0,43.0,137.49
2023-02-09,620 Exactum,0.0,6.0,26.0,19.0,0.0,125.0,98.51
2023-02-10,600 Chemicum,219.0,350.0,0.0,0.0,0.0,225.0,498.46
2023-02-10,610 Physicum,19.0,31.0,43.0,17.0,0.0,35.0,110.89
2023-02-10,620 Exactum,17.0,5.0,0.0,0.0,0.0,119.0,63.39
2023-02-13,600 Chemicum,239.0,65.0,0.0,339.0,0.0,252.0,724.31
2023-02-13,610 Physicum,6.0,70.0,38.0,18.0,0.0,32.0,122.98
2023-02-13,620 Exactum,79.0,96.0,0.0,0.0,0.0,215.0,248.46
2023-02-14,600 Chemicum,228.0,0.0,0.0,102.0,0.0,468.0,473.55
2023-02-14,610 Physicum,7.0,59.0,49.0,19.0,0.0,30.0,133.99
2023-02-14,620 Exactum,106.0,31.0,2.0,0.0,0.0,227.0,201.45
2023-02-15,600 Chemicum,128.0,313.0,0.0,14.0,0.0,500.0,561.92
2023-02-15,610 Physicum,24.0,51.0,45.0,19.0,0.0,26.0,129.32
2023-02-15,620 Exactum,17.0,2.0,0.0,106.0,0.0,179.0,178.95
2023-02-16,600 Chemicum,311.0,116.0,0.0,95.0,0.0,363.0,559.3
2023-02-16,610 Physicum,11.0,61.0,50.0,35.0,0.0,39.0,147.51
2023-02-16,620 Exactum,38.0,103.0,0.0,12.0,0.0,145.0,144.44
2023-02-17,600 Chemicum,182.0,33.0,0.0,272.0,0.0,345.0,540.18
2023-02-17,610 Physicum,10.0,54.0,34.0,12.0,0.0,25.0,103.38
2023-02-17,620 Exactum,83.0,1.0,0.0,27.0,0.0,98.0,119.57
2023-02-20,600 Chemicum,179.0,0.0,0.0,368.0,0.0,337.0,620.73
2023-02-20,610 Physicum,18.0,53.0,35.0,14.0,0.0,35.0,118.09
2023-02-20,620 Exactum,13.0,160.0,0.0,0.0,0.0,146.0,170.65
2023-02-21,600 Chemicum,326.0,0.0,0.0,94.0,0.0,293.0,497.94
2023-02-21,610 Physicum,10.0,44.0,38.0,35.0,0.0,21.0,118.13
2023-02-21,620 Exactum,76.0,18.0,1.0,0.0,0.0,53.0,78.02
2023-02-22,600 Chemicum,168.0,369.0,0.0,23.0,0.0,162.0,435.61
2023-02-22,610 Physicum,26.0,57.0,48.0,12.0,0.0,33.0,138.2
2023-02-22,620 Exactum,28.0,107.0,0.0,0.0,0.0,3.0,80.62
2023-02-23,600 Chemicum,271.0,187.0,0.0,7.0,0.0,301.0,452.84
2023-02-23,610 Physicum,7.0,65.0,59.0,6.0,0.0,37.0,134.8
2023-02-23,620 Exactum,194.0,0.0,30.0,0.0,0.0,139.0,262.92
2023-02-24,600 Chemicum,134.0,266.0,0.0,0.0,0.0,215.0,320.72
2023-02-24,610 Physicum,0.0,46.0,38.0,13.0,0.0,33.0,95.74
2023-02-24,620 Exactum,50.0,66.0,0.0,0.0,0.0,124.0,127.52
2023-02-27,600 Chemicum,202.0,13.0,0.0,405.0,0.0,310.0,603.51
2023-02-27,610 Physicum,0.0,43.0,44.0,13.0,0.0,38.0,103.14
2023-02-27,620 Exactum,160.0,0.0,0.0,0.0,0.0,139.0,174.67
2023-02-28,600 Chemicum,373.0,0.0,0.0,8.0,0.0,466.0,402.82
2023-02-28,610 Physicum,0.0,61.0,40.0,33.0,0.0,27.0,126.18
2023-02-28,620 Exactum,197.0,0.0,16.0,0.0,0.0,93.0,251.62
2023-03-01,600 Chemicum,288.0,192.0,0.0,0.0,0.0,268.0,540.65
2023-03-01,610 Physicum,4.0,37.0,44.0,23.0,0.0,26.0,107.84
2023-03-01,620 Exactum,14.0,0.0,0.0,113.0,0.0,114.0,158.66
2023-03-02,600 Chemicum,108.0,397.0,0.0,4.0,0.0,200.0,460.99
2023-03-02,610 Physicum,24.0,34.0,46.0,16.0,0.0,26.0,113.78
2023-03-02,620 Exactum,0.0,0.0,21.0,120.0,0.0,99.0,162.66
2023-03-03,600 Chemicum,158.0,55.0,0.0,199.0,0.0,215.0,437.05
2023-03-03,610 Physicum,4.0,37.0,23.0,6.0,0.0,20.0,67.29
2023-03-03,620 Exactum,0.0,78.0,0.0,16.0,0.0,121.0,144.07
2023-03-06,600 Chemicum,168.0,0.0,0.0,399.0,0.0,249.0,474.48
2023-03-06,610 Physicum,1.0,34.0,25.0,7.0,0.0,19.0,65.01
2023-03-06,620 Exactum,44.0,1.0,0.0,81.0,0.0,120.0,150.94
2023-03-07,600 Chemicum,309.0,0.0,0.0,24.0,0.0,413.0,459.62
